video_id,title,views,likes,comments,publish_days,subscribers
zhf7iaf0ejY,睡神－許普諾斯【超冷門神話故事】#shorts,32397,1267,30,314,1590000
3iSQ5bxlfDw,【啾極知識王 EP2】溫泱來啦! Call out邰哥是否能神救援?? ft.溫妮、泱泱,381431,7981,768,1960,1590000
OcvwjJIl9-E,AI生成影片真實到讓人懷疑現實！OpenAI SORA的影片生成到底有多強！你分得出來嗎？｜一探啾竟｜啾啾鞋,555324,12549,1050,308,1590000
Rfz--BtrF5c,我如何考到多益910分的? 英語學習經驗分享 | 啾來聊聊 第53集 | 啾啾鞋,1094052,29517,1204,2583,1590000
4uQTVDtZDk0,PewDiePie vs T-Series!!YouTube訂閱數最多的寶座將要換人了嗎?!,1912964,32167,4603,2240,1590000
FZMKfn5_w48,你聽得到嗎? 這張GIF有聲音! | 一探啾竟 第30集 | 啾啾鞋,504968,12066,2334,2569,1590000
p9kMRWykf2U,你走得出這道迷宮嗎? 這群單細胞生物可以! | 啾啾鞋,474432,10536,491,1564,1590000
C8LsGxcEIlg,熱鍋上的水珠讓科學家有了意外的發現！｜啾啾鞋,268262,9540,372,1221,1590000
JEkvTGuQcLM,吃飯看電視會更容易胖嗎？#shorts,110863,4124,92,699,1590000
NdHlnL-NYxU,賀瓏召喚Google助理結果召喚出了... #shorts,110720,4649,87,837,1590000
s9-BabWWBvA,吃蟲可以幫助環境?? #shorts,104927,4592,230,998,1590000
n_C-q6vfXjk,科學家成功破解手機圖形鎖! 成功率超過九成! 只需要用內建的喇叭和麥克風就可以做到? | 一探啾竟 第61集 | 啾啾鞋,971806,13817,1102,2170,1590000
xzx5NFrNg1Q,你對這個世界了解多少? 為什麼你覺得世界越變越糟? | 真確 | 啾讀。第37集 | 啾啾鞋,438005,11247,948,2345,1590000
iO3WvV86lS0,我花九萬元買了一個「實體的」NFT,317835,13651,674,917,1590000
EWBF76KBZec,"參觀一年學費$400,000的貴族小學！",456156,11908,0,1067,1590000
